Supermercado,Categoria,Subcategoria,Subseccion
Carrefour,Electro y tecnología,Cuidado personal y salud,"Afeitadoras, cortabarba y cortapelo"
Carrefour,Electro y tecnología,Cuidado personal y salud,Salud y bienestar
Carrefour,Electro y tecnología,Informática y gaming,Notebooks y PC
Carrefour,Electro y tecnología,Informática y gaming,Consolas y joysticks
Carrefour,Electro y tecnología,Informática y gaming,Impresoras y cartuchos
Carrefour,Electro y tecnología,Informática y gaming,Tablets
Carrefour,Electro y tecnología,Informática y gaming,Monitores y proyectores
Carrefour,Electro y tecnología,Informática y gaming,Componentes
Carrefour,Electro y tecnología,Informática y gaming,Teclados y mouse
Carrefour,Electro y tecnología,Informática y gaming,Accesorios e informática
Carrefour,Electro y tecnología,Informática y gaming,Gaming
Carrefour,Electro y tecnología,Informática y gaming,Cámaras de seguridad
Carrefour,Electro y tecnología,Heladeras y freezers,Heladeras
Carrefour,Electro y tecnología,Heladeras y freezers,Freezers
Carrefour,Electro y tecnología,Heladeras y freezers,Cavas
Carrefour,Bazar y textil,Muebles,Sillas y banquetas
Carrefour,Bazar y textil,Muebles,Mesas y escritorios
Carrefour,Bazar y textil,Muebles,Sillones
Carrefour,Bazar y textil,Muebles,Bibliotecas y organizadores
Carrefour,Bazar y textil,Muebles,Camas y mesas de luz
Carrefour,Bazar y textil,Muebles,Colchones y sommiers
Carrefour,Bazar y textil,Aire libre,Mesas y juegos de jardín
Carrefour,Bazar y textil,Aire libre,"Sillas, reposeras y hamacas"
Carrefour,Bazar y textil,Aire libre,Parasoles y sombrillas
Carrefour,Bazar y textil,Aire libre,Piletas e inflables
Carrefour,Bazar y textil,Aire libre,Limpieza de piletas
Carrefour,Bazar y textil,Aire libre,Parrillas
Carrefour,Bazar y textil,Aire libre,Herramientas de jardín
Carrefour,Bazar y textil,Cocina y comedor,Eco amigables
Carrefour,Bazar y textil,Cocina y comedor,"Ollas, sartenes y fuentes"
Carrefour,Bazar y textil,Cocina y comedor,Herméticos y frascos
Carrefour,Bazar y textil,Cocina y comedor,Vajilla
Carrefour,Bazar y textil,Cocina y comedor,Vajilla infantil
Carrefour,Bazar y textil,Cocina y comedor,Vasos y copas
Carrefour,Bazar y textil,Cocina y comedor,Cubiertos y utensilios
Carrefour,Bazar y textil,Cocina y comedor,Termos y mates
Carrefour,Bazar y textil,Cocina y comedor,Manteles y accesorios de cocina
Carrefour,Bazar y textil,Cocina y comedor,Papeles de cocina y bolsas
Carrefour,Bazar y textil,Deco y organización,Decoración
Carrefour,Bazar y textil,Deco y organización,Organización
Carrefour,Bazar y textil,Deco y organización,Cotillón
Carrefour,Bazar y textil,Librería,Lapiceras y lápices
Carrefour,Bazar y textil,Librería,Para colorear
Carrefour,Bazar y textil,Librería,Cuadernos
Carrefour,Bazar y textil,Librería,"Carpetas, cuadernos y folios"
Carrefour,Bazar y textil,Librería,Adhesivos
Carrefour,Bazar y textil,Librería,Librería artística
Carrefour,Bazar y textil,Librería,Blocks de dibujo y cartulinas
Carrefour,Bazar y textil,Librería,Resmas y artículos de oficina
Carrefour,Bazar y textil,Librería,Accesorios de librería
Carrefour,Bazar y textil,Libros,Literatura y ciencia ficción
Carrefour,Bazar y textil,Libros,Autoayuda y empresarial
Carrefour,Bazar y textil,Libros,"Juveniles, mangas y cómics"
Carrefour,Bazar y textil,Libros,Ensayos y actualidad
Carrefour,Bazar y textil,Libros,Visuales y otros géneros
Carrefour,Bazar y textil,Ferretería y pintura,Pinturas
Carrefour,Bazar y textil,Ferretería y pintura,Construcción
Carrefour,Bazar y textil,Ferretería y pintura,Accesorios de ferretería
Carrefour,Bazar y textil,Ferretería y pintura,Herramientas y escaleras
Carrefour,Bazar y textil,Ferretería y pintura,Alargues y enchufes
Carrefour,Bazar y textil,Ferretería y pintura,Lamparitas
Carrefour,Bazar y textil,Ferretería y pintura,Pilas
Carrefour,Bazar y textil,Ferretería y pintura,Luces de emergencia e iluminación
Carrefour,Bazar y textil,Tiempo libre y deportes,Hoverboards y monopatines
Carrefour,Bazar y textil,Tiempo libre y deportes,Deportes
Carrefour,Bazar y textil,Tiempo libre y deportes,Entretenimiento
Carrefour,Bazar y textil,Tiempo libre y deportes,Camping
Carrefour,Bazar y textil,Tiempo libre y deportes,Bicicletas
Carrefour,Bazar y textil,Tiempo libre y deportes,Bolsos y valijas
Carrefour,Bazar y textil,Tiempo libre y deportes,Máquinas de gimnasio
Carrefour,Bazar y textil,Dormitorio,Sábanas y frazadas
Carrefour,Bazar y textil,Dormitorio,Almohadas y almohadones
Carrefour,Bazar y textil,Baño,Toallas y toallones
Carrefour,Bazar y textil,Juguetería carrefour,Autos y pistas de juguete
Carrefour,Bazar y textil,Juguetería carrefour,Peluches
Carrefour,Bazar y textil,Juguetería carrefour,Muñecas y muñecos
Carrefour,Bazar y textil,Juguetería carrefour,Juegos didácticos
Carrefour,Bazar y textil,Juguetería carrefour,Juegos de mesa
Carrefour,Bazar y textil,Juguetería carrefour,Lanzadores
Carrefour,Bazar y textil,Juguetería carrefour,Juegos de verano
Carrefour,Bazar y textil,Juguetería carrefour,Juegos de aire libre
Carrefour,Bazar y textil,Automotor,Cubierta de autos
Carrefour,Bazar y textil,Automotor,Limpieza de autos
Carrefour,Bazar y textil,Automotor,Lubricantes y aditivos
Carrefour,Bazar y textil,Automotor,Accesorios para el auto
Carrefour,Almacén,Aceites y vinagres,Aceites comunes
Carrefour,Almacén,Aceites y vinagres,Aceites de oliva
Carrefour,Almacén,Aceites y vinagres,Aceites especiales
Carrefour,Almacén,Aceites y vinagres,Aceites en aerosol
Carrefour,Almacén,Aceites y vinagres,"Vinagres, acetos y limón"
Carrefour,Almacén,Pastas secas,Fideos largos
Carrefour,Almacén,Pastas secas,Fideos guiseros y para sopas
Carrefour,Almacén,Pastas secas,Pastas secas rellenas y listas
Carrefour,Almacén,"Caldos, sopas y puré",Caldos
Carrefour,Almacén,"Caldos, sopas y puré",Sopas
Carrefour,Almacén,"Caldos, sopas y puré",Purés instantáneos
Carrefour,Almacén,Enlatados y conservas,Conservas de pescado
Carrefour,Almacén,Enlatados y conservas,Conservas y salsas de tomate
Carrefour,Almacén,Enlatados y conservas,Conservas de legumbres y vegetales
Carrefour,Almacén,Enlatados y conservas,Aceitunas y encurtidos
Carrefour,Almacén,Enlatados y conservas,Conservas de frutas
Carrefour,Almacén,Enlatados y conservas,Picadillos y paté
Carrefour,Almacén,"Sal, aderezos y saborizantes",Sal
Carrefour,Almacén,"Sal, aderezos y saborizantes",Salsas y aderezos
Carrefour,Almacén,"Sal, aderezos y saborizantes",Hierbas secas y especias
Carrefour,Almacén,"Sal, aderezos y saborizantes",Saborizadores
Carrefour,Almacén,Harinas,Harinas comunes y leudantes
Carrefour,Almacén,Harinas,Premezclas saladas
Carrefour,Almacén,Harinas,Polentas
Carrefour,Almacén,Harinas,Avena
Carrefour,Almacén,Harinas,Otras harinas
Carrefour,Almacén,Snacks,Papas fritas y snacks de maíz
Carrefour,Almacén,Snacks,"Nachos, maní y palitos"
Carrefour,Almacén,Snacks,Otros snacks salados
Carrefour,Almacén,Arroz y legumbres,Arroz
Carrefour,Almacén,Arroz y legumbres,Legumbres
Carrefour,Almacén,Arroz y legumbres,Semillas
Carrefour,Almacén,Repostería y postres,Premezclas dulces
Carrefour,Almacén,Repostería y postres,"Coberturas, rellenos y salsas"
Carrefour,Almacén,Repostería y postres,Complementos
Carrefour,Almacén,Repostería y postres,Gelatinas
Carrefour,Almacén,Repostería y postres,Postres y flanes
Carrefour,Almacén,Repostería y postres,Tapas de alfajores y merengues
Carrefour,Desayuno y merienda,"Galletitas, bizcochitos y tostadas",Galletitas dulces
Carrefour,Desayuno y merienda,"Galletitas, bizcochitos y tostadas",Bizcochitos
Carrefour,Desayuno y merienda,"Galletitas, bizcochitos y tostadas",Galletitas de agua
Carrefour,Desayuno y merienda,"Galletitas, bizcochitos y tostadas",Galletitas de arroz
Carrefour,Desayuno y merienda,"Galletitas, bizcochitos y tostadas","Tostadas, grisines y marineras"
Carrefour,Desayuno y merienda,Budines y magdalenas,Budines y bizcochudos
Carrefour,Desayuno y merienda,Budines y magdalenas,Magdalenas
Carrefour,Desayuno y merienda,Mermelada y otros dulces,Miel
Carrefour,Desayuno y merienda,Mermelada y otros dulces,"Mermeladas, dulces y jaleas"
Carrefour,Desayuno y merienda,Mermelada y otros dulces,Pasta de maní y crema de avellanas
Carrefour,Desayuno y merienda,Infusiones,Té
Carrefour,Desayuno y merienda,Infusiones,Cacao
Carrefour,Desayuno y merienda,Infusiones,Mate cocido
Carrefour,Desayuno y merienda,Azúcar y endulzantes,Azúcar
Carrefour,Desayuno y merienda,Azúcar y endulzantes,Edulcorantes y endulzantes
Carrefour,Desayuno y merienda,Café,Café molido y en grano
Carrefour,Desayuno y merienda,Café,Café instantáneo
Carrefour,Desayuno y merienda,Café,Cápsulas de café
Carrefour,Desayuno y merienda,Café,Filtros de café
Carrefour,Desayuno y merienda,Golosinas y chocolates,Chocolates
Carrefour,Desayuno y merienda,Golosinas y chocolates,Alfajores
Carrefour,Desayuno y merienda,Golosinas y chocolates,"Caramelos, gomitas y chupetines"
Carrefour,Desayuno y merienda,Golosinas y chocolates,Chicles
Carrefour,Desayuno y merienda,Golosinas y chocolates,"Bocaditos, confites y turrones"
Carrefour,Desayuno y merienda,Yerba,
Carrefour,Desayuno y merienda,Cereales y barritas,Cereales
Carrefour,Desayuno y merienda,Cereales y barritas,Barritas de cereales
Carrefour,Desayuno y merienda,Cereales y barritas,Granola
Carrefour,Bebidas,Cervezas,
Carrefour,Bebidas,Vinos,Vinos tintos
Carrefour,Bebidas,Vinos,Vinos blancos
Carrefour,Bebidas,Vinos,Vinos rosados
Carrefour,Bebidas,Fernet y aperitivos,Fernet
Carrefour,Bebidas,Fernet y aperitivos,Aperitivos con alcohol
Carrefour,Bebidas,Fernet y aperitivos,Aperitivos sin alcohol
Carrefour,Bebidas,Bebidas isotónicas,
Carrefour,Bebidas,Gaseosas,Gaseosas cola
Carrefour,Bebidas,Gaseosas,Gaseosas naranja
Carrefour,Bebidas,Gaseosas,Gaseosas limón
Carrefour,Bebidas,Gaseosas,Gaseosas pomelo
Carrefour,Bebidas,Gaseosas,Gaseosas tónicas y otras
Carrefour,Bebidas,Aguas,Aguas minerales y de mesa
Carrefour,Bebidas,Aguas,Aguas saborizadas
Carrefour,Bebidas,Jugos,Jugos en polvo
Carrefour,Bebidas,Jugos,Jugos listos
Carrefour,Bebidas,Jugos,Jugos concentrados
Carrefour,Bebidas,Bebidas energizantes,
Carrefour,Bebidas,Espumantes y sidras,Espumantes
Carrefour,Bebidas,Espumantes y sidras,Sidras
Carrefour,Bebidas,Espumantes y sidras,Frizzantes
Carrefour,Bebidas,Bebidas blancas,Whisky
Carrefour,Bebidas,Bebidas blancas,Vodka
Carrefour,Bebidas,Bebidas blancas,Ron
Carrefour,Bebidas,Bebidas blancas,Gin
Carrefour,Bebidas,Bebidas blancas,Licores
Carrefour,Bebidas,Bebidas blancas,Otras espirituosas
Carrefour,Lácteos y productos frescos,Leches,Leches enteras
Carrefour,Lácteos y productos frescos,Leches,Leches descremadas
Carrefour,Lácteos y productos frescos,Leches,Leches vegetales
Carrefour,Lácteos y productos frescos,Leches,Leches saborizadas
Carrefour,Lácteos y productos frescos,Leches,Leches en polvo
Carrefour,Lácteos y productos frescos,Yogures,Yogures enteros
Carrefour,Lácteos y productos frescos,Yogures,Yogures descremados
Carrefour,Lácteos y productos frescos,"Mantecas, margarinas y levaduras",
Carrefour,Lácteos y productos frescos,Dulce de leche,
Carrefour,Lácteos y productos frescos,Cremas de leche,
Carrefour,Lácteos y productos frescos,Postres,
Carrefour,Lácteos y productos frescos,Huevos,
Carrefour,Lácteos y productos frescos,Tapas y pastas frescas,
Carrefour,Lácteos y productos frescos,Dulce de membrillo y otros dulces,
Carrefour,Lácteos y productos frescos,Salchichas,
Carrefour,Lácteos y productos frescos,Quesos,Quesos cremas y untables
Carrefour,Lácteos y productos frescos,Quesos,Quesos cremosos y mozzarellas
Carrefour,Lácteos y productos frescos,Quesos,Quesos duros y semiduros
Carrefour,Lácteos y productos frescos,Quesos,Quesos rallados y en hebras
Carrefour,Lácteos y productos frescos,Quesos,Quesos especiales
Carrefour,Lácteos y productos frescos,Quesos,Quesos feteados
Carrefour,Lácteos y productos frescos,Quesos,Ricota
Carrefour,Lácteos y productos frescos,Fiambres,Fiambres feteados
Carrefour,Lácteos y productos frescos,Fiambres,Salamines y embutidos
Carrefour,Carnes y Pescados,Carne vacuna,
Carrefour,Carnes y Pescados,Pollo y granja,
Carrefour,Carnes y Pescados,Achuras y embutidos,
Carrefour,Carnes y Pescados,Pescados y mariscos,
Carrefour,Carnes y Pescados,Carbón y encendido,
Carrefour,Carnes y Pescados,Carne de cerdo,
Carrefour,Frutas y Verduras,Frutas,
Carrefour,Frutas y Verduras,Frutos secos,
Carrefour,Frutas y Verduras,Verduras cortadas y ensaladas preparadas,
Carrefour,Frutas y Verduras,Verduras,
Carrefour,Panadería,Elaboración Carrefour,Especialidades dulces
Carrefour,Panadería,Elaboración Carrefour,Especialidades saladas
Carrefour,Panadería,Panificados,Panes lacteados y de mesa
Carrefour,Panadería,Panificados,Pan para hamburguesas y panchos
Carrefour,Panadería,Panificados,Tortillas
Carrefour,Panadería,Pan rallado y rebozadores,
Carrefour,Panadería,Pizzas y prepizzas,
Carrefour,Panadería,"Sandwiches, Empanadas y Tartas",
Carrefour,Panadería,Bizcochudos y pionones,
Carrefour,Congelados,Hamburguesas,
Carrefour,Congelados,Helados y postres,
Carrefour,Congelados,Verduras y frutas,
Carrefour,Congelados,Comidas y panificados,
Carrefour,Congelados,Papas,
Carrefour,Congelados,Pescados y mariscos,
Carrefour,Congelados,Nuggets y rebozados,
Carrefour,Congelados,Pollos,
Carrefour,Limpieza,Limpieza de la ropa,Jabones para la ropa
Carrefour,Limpieza,Limpieza de la ropa,Prelavado y quitamanchas
Carrefour,Limpieza,Limpieza de la ropa,Suavizantes para la ropa
Carrefour,Limpieza,Limpieza de la ropa,Aprestos
Carrefour,Limpieza,Limpieza de la ropa,Perfumantes para tela
Carrefour,Limpieza,Limpieza de la ropa,Cuidado del calzado
Carrefour,Limpieza,Limpieza del hogar,Limpiadores de piso
Carrefour,Limpieza,Limpieza del hogar,Autobrillos y ceras para pisos
Carrefour,Limpieza,Limpieza del hogar,Limpiavidrios
Carrefour,Limpieza,Limpieza del hogar,Lustramuebles
Carrefour,Limpieza,Papeles higiénicos,
Carrefour,Limpieza,Limpieza de baño,Limpiadores de baño
Carrefour,Limpieza,Limpieza de baño,Canastas y bloques
Carrefour,Limpieza,Lavandinas,
Carrefour,Limpieza,Rollos de cocina y servilletas,Baldes y palanganas
Carrefour,Limpieza,Rollos de cocina y servilletas,Cestos de basura
Carrefour,Limpieza,Rollos de cocina y servilletas,Bolsas de residuos
Carrefour,Limpieza,Rollos de cocina y servilletas,"Escobas, secadores y palas"
Carrefour,Limpieza,Rollos de cocina y servilletas,Trapos y paños
Carrefour,Limpieza,Rollos de cocina y servilletas,Esponjas
Carrefour,Limpieza,Rollos de cocina y servilletas,Guantes
Carrefour,Limpieza,Artículos de limpieza,Baldes y palanganas
Carrefour,Limpieza,Artículos de limpieza,Cestos de basura
Carrefour,Limpieza,Artículos de limpieza,Bolsas de residuos
Carrefour,Limpieza,Artículos de limpieza,"Escobas, secadores y palas"
Carrefour,Limpieza,Artículos de limpieza,Trapos y paños
Carrefour,Limpieza,Artículos de limpieza,Esponjas
Carrefour,Limpieza,Artículos de limpieza,Guantes
Carrefour,Limpieza,Desodorantes de ambiente,Difusores y repuestos
Carrefour,Limpieza,Desodorantes de ambiente,Antihumedad
Carrefour,Limpieza,Desodorantes de ambiente,Desodorantes y desinfectantes
Carrefour,Limpieza,Insecticidas,
Carrefour,Limpieza,Limpieza de cocina,Detergentes
Carrefour,Limpieza,Limpieza de cocina,Limpiadores líquidos
Carrefour,Limpieza,Limpieza de cocina,Limpiadores cremosos
Carrefour,Limpieza,Limpieza de cocina,Para el lavavajillas
Carrefour,Limpieza,Limpieza de cocina,"Palitos, velas y fósforos"
Carrefour,Perfumería,Cuidado del cabello,Shampoos
Carrefour,Perfumería,Cuidado del cabello,Acondicionadores
Carrefour,Perfumería,Cuidado del cabello,Tratamientos capilares
Carrefour,Perfumería,Cuidado del cabello,Cremas para peinar
Carrefour,Perfumería,Cuidado del cabello,Coloración
Carrefour,Perfumería,Cuidado del cabello,Gel y fijadores
Carrefour,Perfumería,Cuidado del cabello,Pijolidas
Carrefour,Perfumería,Cuidado del cabello,Accesorios para el cabello
Carrefour,Perfumería,Cuidado dental,Pasta dental
Carrefour,Perfumería,Cuidado dental,Enjuagues bucales
Carrefour,Perfumería,Cuidado dental,Cepillos de dientes
Carrefour,Perfumería,Cuidado dental,Hilos dentales
Carrefour,Perfumería,Cuidado dental,Para prótesis dentales
Carrefour,Perfumería,Jabones,Jabones líquidos
Carrefour,Perfumería,Jabones,Jabones en barra
Carrefour,Perfumería,Jabones,Esponjas y otros accesorios
Carrefour,Perfumería,Protección femenina,Toallitas femeninas
Carrefour,Perfumería,Protección femenina,Protectores diarios
Carrefour,Perfumería,Protección femenina,Tampones
Carrefour,Perfumería,Protección femenina,Higiene íntima
Carrefour,Perfumería,Cuidado de la piel,Cremas faciales
Carrefour,Perfumería,Cuidado de la piel,Limpieza facial y exfoliantes
Carrefour,Perfumería,Cuidado de la piel,Desmaquillantes
Carrefour,Perfumería,Cuidado de la piel,Cremas corporales
Carrefour,Perfumería,Cuidado de la piel,Cremas para manos
Carrefour,Perfumería,Cuidado de la piel,Cuidado labial
Carrefour,Perfumería,Cuidado de la piel,Protección solar
Carrefour,Perfumería,Antitranspirantes y desodorantes,En aerosol
Carrefour,Perfumería,Antitranspirantes y desodorantes,En barra y roll on
Carrefour,Perfumería,Cuidado corporal,Depilación
Carrefour,Perfumería,Cuidado corporal,Afeitado
Carrefour,Perfumería,Cuidado corporal,Cuidado de los pies
Carrefour,Perfumería,Repelentes,
Carrefour,Perfumería,Algodones e hisopos,
Carrefour,Perfumería,Farmacia,Farmacia
Carrefour,Perfumería,Farmacia,Preservativos
Carrefour,Perfumería,Farmacia,Tapabocas y máscaras
Carrefour,Perfumería,Farmacia,Pañuelos descartables
Carrefour,Perfumería,Protección para adultos,
Carrefour,Perfumería,Fragancias y maquillajes,Fragancias
Carrefour,Perfumería,Fragancias y maquillajes,Maquillajes
Carrefour,Mundo bebé,Pañales,
Carrefour,Mundo bebé,Toallitas húmedas,
Carrefour,Mundo bebé,Para el baño,Shampoos y acondicionadores
Carrefour,Mundo bebé,Para el baño,Jabones
Carrefour,Mundo bebé,Alimentos para bebé,Leches infantiles
Carrefour,Mundo bebé,Alimentos para bebé,Cereales y papillas
Carrefour,Mundo bebé,Cuidado maternal,
Carrefour,Mundo bebé,"Chupetes, mamaderas y accesorios",
Carrefour,Mundo bebé,Pelelas y bañeras,
Carrefour,Mundo bebé,Cochecitos y butacas,
Carrefour,Mundo bebé,Después del baño,Óleo calcáreo y talco
Carrefour,Mundo bebé,Después del baño,Colonias
Carrefour,Mundo bebé,Después del baño,"Aceites, cremas y lociones"
Carrefour,Mascotas,Alimentos para perros,Alimentos secos para perros
Carrefour,Mascotas,Alimentos para perros,Alimentos húmedos para perros
Carrefour,Mascotas,Alimentos para perros,Snacks para perros
Carrefour,Mascotas,Alimentos para gatos,Alimentos secos para gatos
Carrefour,Mascotas,Alimentos para gatos,Alimentos húmedos para gatos
Carrefour,Mascotas,Alimentos para gatos,Snacks para gatos
Carrefour,Mascotas,Accesorios para mascotas,
Carrefour,Mascotas,Higiene para mascotas,
Carrefour,Indumentaria,Adultos,Abrigos
Carrefour,Indumentaria,Adultos,Sweaters y Buzos
Carrefour,Indumentaria,Adultos,Remeras y Camisas
Carrefour,Indumentaria,Adultos,Musculosas y Tops
Carrefour,Indumentaria,Adultos,Faldas y Vestidos
Carrefour,Indumentaria,Adultos,Pantalones y Shorts
Carrefour,Indumentaria,Adultos,Calzado
Carrefour,Indumentaria,Adultos,"Interiores, Medias y Pijamas"
Carrefour,Indumentaria,Adultos,Trajes de baño
Carrefour,Indumentaria,Adultos,Accesorios
Carrefour,Indumentaria,Bebés,Abrigos
Carrefour,Indumentaria,Bebés,Sweaters y Buzos
Carrefour,Indumentaria,Bebés,Bodies y Enteritos
Carrefour,Indumentaria,Bebés,Remeras y Camisas
Carrefour,Indumentaria,Bebés,Faldas y Vestidos
Carrefour,Indumentaria,Bebés,Pantalones y Shorts
Carrefour,Indumentaria,Bebés,Calzado
Carrefour,Indumentaria,Bebés,"Interiores, Medias y Pijamas"
Carrefour,Indumentaria,Bebés,Trajes de baño
Carrefour,Indumentaria,Bebés,Accesorios
Carrefour,Indumentaria,Niños y niñas,Abrigos
Carrefour,Indumentaria,Niños y niñas,Sweaters y Buzos
Carrefour,Indumentaria,Niños y niñas,Remeras y Camisas
Carrefour,Indumentaria,Niños y niñas,Musculosas y Tops
Carrefour,Indumentaria,Niños y niñas,Faldas y Vestidos
Carrefour,Indumentaria,Niños y niñas,Pantalones y Shorts
Carrefour,Indumentaria,Niños y niñas,Calzado
Carrefour,Indumentaria,Niños y niñas,"Interiores, Medias y Pijamas"
Carrefour,Indumentaria,Niños y niñas,Trajes de baño
Carrefour,Indumentaria,Niños y niñas,Accesorios
Jumbo,Ofertas,Ofertas de fin de semana,Hasta 2do al 70% en Almacén y Bebidas
Jumbo,Ofertas,Ofertas de fin de semana,Hasta 2do al 80% en Perfumería y Limpieza
Jumbo,Ofertas,Ofertas de fin de semana,Hasta 2do al 50% en Frescos y Lácteos
Jumbo,Ofertas,Electrodomésticos,Hasta 30% + Hasta 12 CSI en Calefacción Seleccionada
Jumbo,Ofertas,Electrodomésticos,"Hasta 20% + Hasta 12 CSI en Heladeras, Lavarropas, Microondas y más"
Jumbo,Ofertas,Electrodomésticos,"Hasta 35% + Hasta 12 CSI Notebooks, Tablets, Audio y más"
Jumbo,Ofertas,Electrodomésticos,Hasta 30% en Pequeños Electrodomésticos
Jumbo,Ofertas,Electrodomésticos,15% + 12 CSI en TV y Celulares
Jumbo,Viví Saludable,,
Jumbo,Electro,Aire Acondicionado y Ventilación,Aire Acondicionado
Jumbo,Electro,Aire Acondicionado y Ventilación,Ventilación
Jumbo,Electro,Audio,"Calefacción, Calefones y Termotanques"
Jumbo,Electro,Audio,Calefacción
Jumbo,Electro,Audio,Calefones
