Categoría,Sub-Categoría,Beneficios,Cantidad,Contenido,Etapa,Formato,Marca,Tipo de Cabello,Tipo de Dureza,Tipo de Piel,Tipo de Producto,Tono,Zona de Aplicación
,Reparación y Tratamientos,,,47 Grs,,,DEPIMIEL,,,,Cremas Corporales,N° 7.1: Rubio Ceniza,
,Shampoo,,,500 Ml,,,DERMAGLOS,,,,Cremas de Afeitar,N° 7744: Rojo Cobrizo Intenso,
,Solares y Post-Solares,,,510 Ml,,,DERMO - EXPERTISE,,,,Cremas de Manos,N° 7: Rubio Medio,
,,,,58 Gr,,,DERMOVAGISIL,,,,Cremas de Peinar,N° 8.0: Rubio Claro Natural,
,,,,60 Ml,,,DONCELLA,,,,Cremas Depilatorias,N° 8.1: Rubio Claro Ceniza,
,,,,650 Ml,,,DOVE,,,,Cremas Faciales,N° 8.3: Rubio Claro Dorado,
,,,,700 Ml,,,EFFICIENT,,,,Cremas Hidratantes,N° 9.0: Rubio Muy Claro Natural,
,,,,750 Ml,,,ELVIVE,,,,Cremas para Manos,N° 9.1: Rubio Muy Claro Ceniza,
,,,,800 Ml,,,ESPADOL,,,,Cremas para Paspaduras,N° 9.3: Rubio Dorado Muy Claro,
,,,,Menor a 250 g,,,ESTRELLA,,,,Cremas para Peinar,,
,,,,Menor a 250 ml,,,ETIQUET,,,,Desmaquillantes,,
,,,,,,,EXCELLENCE,,,,Desodorante,,
,,,,,,,FAMILY CARE,,,,Desodorantes,,
,,,,,,,FRUCTIS,,,,Desodorantes en Aerosol,,
,,,,,,,GARNIER,,,,Desodorantes en Barra,,
,,,,,,,GILLETTE,,,,Desodorantes en Crema,,
,,,,,,,GUM,,,,Desodorantes en Gel,,
,,,,,,,HEAD & SHOULDERS,,,,Desodorantes en Roll-On,,
,,,,,,,HIDRA-TOTAL 5,,,,Desodorantes Íntimos,,
,,,,,,,HINDS,,,,Dispensers de Jabón Líquido,,
,,,,,,,IMPULSE,,,,Eau de Parfum,,
,,,,,,,ISSUE,,,,Eau de Toilette,,
,,,,,,,JUMBO FAMILY CARE,,,,Enjuagues Bucal,,
,,,,,,,KEVIN,,,,Enjuagues Bucales,,
,,,,,,,KOLESTON,,,,Esmaltes de Uñas,,
,,,,,,,KOLYNOS,,,,Esponjas de Maquillaje,,
,,,,,,,KOTEX,,,,Espumas de Afeitar,,
,,,,,,,LADYSOFT,,,,Exfoliantes Faciales,,
,,,,,,,LANOSSI,,,,Fijadores de Pelo,,
,,,,,,,LINA,,,,Gel de Afeitar,,
,,,,,,,LISTERINE,,,,Gel de Limpieza,,
,,,,,,,LORD CHESELINE,,,,Gel para Cabello,,
,,,,,,,LUX,,,,Gel Post Solar,,
,,,,,,,LÓREAL DERMO - EXPERTISE,,,,Geles,,
,,,,,,,LÓREAL PARIS,,,,Geles Dentales,,
,,,,,,,MAGIC RETOUCH,,,,Hilos Dentales,,
,,,,,,,MERAKI,,,,Jabones de Tocador,,
,,,,,,,MILLEFIORI,,,,Jabones Espumas,,
,,,,,,,NEUTROGENA,,,,Jabones Líquidos,,
,,,,,,,NIVEA,,,,Kit de Manicura,,
,,,,,,,NOC 10,,,,Kit Dental,,
,,,,,,,NOSOTRAS,,,,Lubricantes,,
,,,,,,,NUTRISSE,,,,Mascarillas para el Pelo,,
,,,,,,,O.B.,,,,Máquinas de Afeitar,,
,,,,,,,ODOL,,,,Máscaras Capilares,,
,,,,,,,ODOLITO,,,,Pastas Dentales,,
,,,,,,,OGX,,,,Pañales,,
,,,,,,,OLD SPICE,,,,Pañales Pants,,
,,,,,,,ORAL-B,,,,Pañales para Adultos,,
,,,,,,,PALMOLIVE,,,,Peines,,
,,,,,,,PANTENE,,,,Perfumeria,,
,,,,,,,PARADONTAX,,,,Polvos y Talcos,,
,,,,,,,PATRICHS,,,,Preservativos,,
,,,,,,,PLAISANCE,,,,Protectores Diarios,,
,,,,,,,PLENITUD,,,,Protectores Solares,,
,,,,,,,PLUSBELLE,,,,Quitaesmaltes,,
,,,,,,,PONDS,,,,Repuestos de Afeitar,,
,,,,,,,PORTA,,,,Set de Belleza,,
,,,,,,,PRESTOBARBA,,,,Set de Higiene,,
,,,,,,,PRIME,,,,Shampoo,,
,,,,,,,PROTEX,,,,Shampoos,,
,,,,,,,QSOFT,,,,Shampoos 2 en 1,,
,,,,,,,REXONA,,,,Shampoos Familiar,,
,,,,,,,SECRET,,,,Shampoos Matizador,,
,,,,,,,SEDAL,,,,Shampoos para la Caspa,,
,,,,,,,SENSODYNE,,,,Shampoos Restauración,,
,,,,,,,SIEMPRE LIBRE,,,,Sérum Faciales,,
,,,,,,,ST TROPEZ,,,,Talcos,,
,,,,,,,ST. IVES,,,,Tampones,,
,,,,,,,SUAVE,,,,Tinturas de Pelo,,
,,,,,,,SUDANTA,,,,Toallitas Desmaquillantes,,
,,,,,,,TAO,,,,Toallitas Femeninas,,
,,,,,,,TEATRICAL,,,,Toallitas Húmedas,,
,,,,,,,TIO NACHITO,,,,Tratamiento Capilar,,
,,,,,,,Tio Nacho,,,,Tratamientos Capilares,,
,,,,,,,TRESEMMÉ,,,,Tónicos Faciales,,
,,,,,,,VASELINE,,,,Óleos para Cabello,,
,,,,,,,VEET,,,,,,
,,,,,,,VEGANIS,,,,,,
,,,,,,,VENUS,,,,,,
,,,,,,,VILLENEUVE,,,,,,
,,,,,,,VN,,,,,,
,,,,,,,ZONO,,,,,,
