Supermercado,Categoria,Subcategoria,Subseccion
Coto,Congelados,Pescados y Mariscos,
Coto,Congelados,Pollo y Carnes,
Coto,Congelados,Helados y Postres,
Coto,Limpieza,Limpieza de Ropa,Jabón en Polvo
Coto,Limpieza,Limpieza de Ropa,Jabón Líquido
Coto,Limpieza,Limpieza de Ropa,Suavizante
Coto,Limpieza,Limpieza de Ropa,Quitamanchas
Coto,Limpieza,Limpieza de Ropa,Blanqueador
Coto,Limpieza,Limpieza de Ropa,Aditivos
Coto,Limpieza,Limpieza de Ropa,Jabón en Pan
Coto,Limpieza,Limpieza de Ropa,Otros
Coto,Limpieza,Limpieza de Cocina,Detergente
Coto,Limpieza,Limpieza de Cocina,Limpiavidrios
Coto,Limpieza,Limpieza de Cocina,Desengrasante
Coto,Limpieza,Limpieza de Cocina,Limpiadores
Coto,Limpieza,Limpieza de Cocina,Otros
Coto,Limpieza,Limpieza de Baño,Desinfectante
Coto,Limpieza,Limpieza de Baño,Limpia Inodoros
Coto,Limpieza,Limpieza de Baño,Pastillas
Coto,Limpieza,Limpieza de Baño,Otros
Coto,Limpieza,Limpieza de Pisos y Muebles,Limpiadores de Pisos
Coto,Limpieza,Limpieza de Pisos y Muebles,Lustramuebles
Coto,Limpieza,Limpieza de Pisos y Muebles,Ceras
Coto,Limpieza,Limpieza de Pisos y Muebles,Otros
Coto,Limpieza,Insecticidas,
Coto,Limpieza,Papeles,Papel Higiénico
Coto,Limpieza,Papeles,Rollos de Cocina
Coto,Limpieza,Papeles,Servilletas
Coto,Limpieza,Papeles,Pañuelos
Coto,Limpieza,Accesorios de Limpieza,Escobas
Coto,Limpieza,Accesorios de Limpieza,Trapos
Coto,Limpieza,Accesorios de Limpieza,Esponjas
Coto,Limpieza,Accesorios de Limpieza,Guantes
Coto,Limpieza,Accesorios de Limpieza,Otros
Coto,Perfumería,Cuidado Capilar,Shampoo
Coto,Perfumería,Cuidado Capilar,Acondicionador
Coto,Perfumería,Cuidado Capilar,Tratamientos
Coto,Perfumería,Cuidado Capilar,Coloración
Coto,Perfumería,Cuidado Capilar,Fijadores
Coto,Perfumería,Cuidado Capilar,Otros
Coto,Perfumería,Cuidado de la Piel,Cremas
Coto,Perfumería,Cuidado de la Piel,Lociones
Coto,Perfumería,Cuidado de la Piel,Desmaquillantes
Coto,Perfumería,Cuidado de la Piel,Otros
Coto,Perfumería,Cuidado Personal,Desodorantes
Coto,Perfumería,Cuidado Personal,Jabones
Coto,Perfumería,Cuidado Personal,Afeitado
Coto,Perfumería,Cuidado Personal,Depilación
Coto,Perfumería,Cuidado Personal,Protección Femenina
Coto,Perfumería,Cuidado Personal,Protección Adultos
Coto,Perfumería,Cuidado Personal,Otros
Coto,Perfumería,Cuidado Oral,Pastas Dentales
Coto,Perfumería,Cuidado Oral,Cepillos Dentales
Coto,Perfumería,Cuidado Oral,Enjuagues Bucales
Coto,Perfumería,Cuidado Oral,Otros
Coto,Perfumería,Farmacia,Algodón
Coto,Perfumería,Farmacia,Alcohol
Coto,Perfumería,Farmacia,Apósitos
Coto,Perfumería,Farmacia,Preservativos
Coto,Perfumería,Farmacia,Otros
Coto,Electro,Electrodomésticos,Heladeras
Coto,Electro,Electrodomésticos,Lavarropas
Coto,Electro,Electrodomésticos,Cocinas
Coto,Electro,Electrodomésticos,Microondas
Coto,Electro,Electrodomésticos,Aires Acondicionados
Coto,Electro,Electrodomésticos,Calefacción
Coto,Electro,Electrodomésticos,Pequeños Electrodomésticos
Coto,Electro,Electrodomésticos,Otros
Coto,Electro,TV y Audio,Televisores
Coto,Electro,TV y Audio,Audio
Coto,Electro,TV y Audio,Accesorios
Coto,Electro,Informática,Notebooks
Coto,Electro,Informática,Tablets
Coto,Electro,Informática,Impresoras
Coto,Electro,Informática,Accesorios
Coto,Electro,Telefonía,Celulares
Coto,Electro,Telefonía,Accesorios
Coto,Textil,Blanquería,Sábanas
Coto,Textil,Blanquería,Toallas
Coto,Textil,Blanquería,Acolchados
Coto,Textil,Blanquería,Almohadas
Coto,Textil,Blanquería,Colchas
Coto,Textil,Blanquería,Otros
Coto,Textil,Indumentaria,Hombre
Coto,Textil,Indumentaria,Mujer
Coto,Textil,Indumentaria,Niños
Coto,Textil,Indumentaria,Bebés
Coto,Textil,Indumentaria,Otros
Coto,Hogar,Cocina,Bazar
Coto,Hogar,Cocina,Utensilios
Coto,Hogar,Cocina,Electrodomésticos
Coto,Hogar,Cocina,Otros
Coto,Hogar,Limpieza,Baldes
Coto,Hogar,Limpieza,Escobas
Coto,Hogar,Limpieza,Trapos
Coto,Hogar,Limpieza,Otros
Coto,Hogar,Decoración,
Coto,Hogar,Muebles,
Coto,Hogar,Organización,
Coto,Hogar,Ferretería,
Coto,Aire Libre,Camping y Playa,
Coto,Aire Libre,Jardín,
Coto,Aire Libre,Parrillas y Accesorios,
Coto,Aire Libre,Bicicletas,
Coto,Aire Libre,Deportes,
